Jahr,gesamt_export,gesamt_import,gesamt_handelsvolumen
2008,984140746000,805842919000,1789983665000
2009,803310691000,664613878000,1467924569000
2010,951958580000,797096236000,1749054816000
2011,1061224579000,902522292000,1963746871000
2012,1092626726000,899404240000,1992030966000
2013,1088024277000,890391798000,1978416075000
2014,1123744938000,910143863000,2033888801000
2015,1193554734000,949244295000,2142799029000
2016,1203832946000,954917144000,2158750090000
2017,1278876208000,1030977050000,2309853258000
2018,1317439970000,1088720139000,2406160109000
2019,1328151350000,1104140797000,2432292147000
2020,1206928014000,1026501291000,2233429305000
2021,1371396401000,1195498008000,2566894409000
2022,1594340926000,1506252903000,3100593829000
2023,1575208205000,1357463697000,2932671902000
2024,1555946395000,1317279019000,2873225414000
