Jahr,Monat,Code,Label,Ausfuhr: Wert,Einfuhr: Wert,Handelsvolumen
2008,1,WA01,Lebende Tiere,82264000,102367000,184631000
2008,1,WA02,Fleisch,509402000,439739000,949141000
2008,1,WA03,"Fische, Krebs- und Weichtiere",84368000,230238000,314606000
2008,1,WA04,"Milch, Milcherzeugnisse, Eier, Honig",586000000,466414000,1052414000
2008,1,WA05,Andere Waren tierischen Ursprungs,43838000,50859000,94697000
2008,1,WA06,"Pflanzen, Waren des Blumenhandels",35126000,163049000,198175000
2008,1,WA07,"Gemüse, Pflanzen für Ernährung",76808000,395631000,472439000
2008,1,WA08,Genießbare Früchte und Nüsse,122384000,493176000,615560000
2008,1,WA09,"Kaffee, Tee, Mate, Gewürze",103900000,221306000,325206000
2008,1,WA10,Getreide,136814000,191885000,328699000
2008,1,WA11,"Müllereierzeugnisse, Malz usw.",84705000,36767000,121472000
2008,1,WA12,"Ölsamen usw., Heilpflanzen usw.",120035000,262931000,382966000
2008,1,WA13,"Schellack, Gummen, Harz, Pflanzensaft",40772000,23540000,64312000
2008,1,WA14,Flechtstoffe usw. pflanzlichen Ursprungs,652000,2216000,2868000
2008,1,WA15,"Tierische und pflanzliche Fette, Öle, Wachs",166381000,242549000,408930000
2008,1,WA16,"Zubereitungen von Fleisch, Fisch usw.",188204000,150767000,338971000
2008,1,WA17,Zucker und Zuckerwaren,115265000,106555000,221820000
2008,1,WA18,Kakao und Zubereitungen aus Kakao,195297000,179462000,374759000
2008,1,WA19,"Zubereitungen aus Getreide usw., Backwaren",302522000,205949000,508471000
2008,1,WA20,"Zubereitungen von Gemüse, Früchten usw.",175324000,348935000,524259000
2008,1,WA21,Verschiedene Lebensmittelzubereitungen,265082000,215471000,480553000
2008,1,WA22,"Getränke, alkoholhaltige Flüssigkeiten, Essig",282187000,397076000,679263000
2008,1,WA23,"Rückstände der Lebensmittelindustrie, Futter",223132000,246366000,469498000
2008,1,WA24,Tabak,295462000,119982000,415444000
2008,1,WA25,"Salz, Schwefel, Steine, Erden usw.",167820000,140800000,308620000
2008,1,WA26,"Erze, Schlacken, Aschen",29254000,543399000,572653000
2008,1,WA27,Mineralische Brennstoffe usw.,2361631000,9125173000,11486804000
2008,1,WA28,Anorganische chemische Erzeugnisse,649353000,408571000,1057924000
2008,1,WA29,Organische chemische Erzeugnisse,2426315000,1913139000,4339454000
2008,1,WA30,Pharmazeutische Erzeugnisse,3656510000,2336170000,5992680000
2008,1,WA31,Düngemittel,183403000,113059000,296462000
2008,1,WA32,"Gerb- und Farbstoffe, Farben, Lacke usw.",683576000,317471000,1001047000
2008,1,WA33,"Etherische Öle, Riech-, Schönheitsmittel",582528000,329731000,912259000
2008,1,WA34,"Seifen, Waschmittel usw.",435089000,208760000,643849000
2008,1,WA35,"Eiweißstoffe, Klebstoffe, Enzyme",161894000,123829000,285723000
2008,1,WA36,"Sprengstoffe, pyrotechnische Artikel usw.",15248000,16323000,31571000
2008,1,WA37,Photochemische Erzeugnisse,130966000,81249000,212215000
2008,1,WA38,Verschiedene Erzeugnisse der Chemischen Industrie,1535643000,743735000,2279378000
2008,1,WA39,Kunststoffe und Waren daraus,3931414000,2237149000,6168563000
2008,1,WA40,Kautschuk und Waren daraus,867253000,840209000,1707462000
2008,1,WA41,"Häute, Felle, Leder",98901000,73682000,172583000
2008,1,WA42,"Lederwaren, Sattlerwaren",107582000,205162000,312744000
2008,1,WA43,"Pelzfelle, künstliches Pelzwerk",11746000,10242000,21988000
2008,1,WA44,"Holz, Holzwaren, Holzkohle",686142000,464249000,1150391000
2008,1,WA45,"Kork, Korkwaren",3003000,10598000,13601000
2008,1,WA46,"Flechtwaren, Korbmacherwaren",4391000,14111000,18502000
2008,1,WA47,"Halbstoffe aus Holz usw., Papierabfall",76535000,298252000,374787000
2008,1,WA48,"Papier, Pappe und Waren daraus",1616175000,1025047000,2641222000
2008,1,WA49,"Bücher, Zeitungen, Bilddrucke usw.",437662000,179441000,617103000
2008,1,WA50,Seide,7274000,7825000,15099000
2008,1,WA51,"Wolle, feine und grobe Tierhaare",57676000,75537000,133213000
2008,1,WA52,Baumwolle,106323000,91856000,198179000
2008,1,WA53,"Andere pflanzliche Spinnstoffe, Papiergarn",11703000,11454000,23157000
2008,1,WA54,Synthetisches oder künstliches Filament,224163000,133593000,357756000
2008,1,WA55,Synthetische oder künstliche Spinnfaser,187745000,126223000,313968000
