Jahr,Label,Ausfuhr: Wert,Einfuhr: Wert
2008,Aluminium und Waren daraus,12397528000,12135180000
2008,"Andere Bekleidung, Bekleidungszubehör",7093662000,11661640000
2008,"Andere Konfektion, Spinnstoffwaren usw.",1583521000,2523426000
2008,Andere Waren tierischen Ursprungs,564176000,660218000
2008,"Andere pflanzliche Spinnstoffe, Papiergarn",67659000,91074000
2008,"Andere unedle Metalle, Cermets usw.",1149057000,1582131000
2008,Anorganische chemische Erzeugnisse,7621410000,6467190000
2008,Baumwolle,1078125000,987496000
2008,"Bekleidung usw. aus Gewirken, Gestricken",5165159000,10396427000
2008,Blei und Waren daraus,462166000,273804000
2008,"Bücher, Zeitungen, Bilddrucke usw.",4987143000,2137956000
2008,Düngemittel,2869652000,1599437000
2008,Eisen und Stahl,27239861000,29823016000
2008,"Eiweißstoffe, Klebstoffe, Enzyme",2019747000,1545513000
2008,Elektrotechnische Erzeugnisse,100048536000,85069739000
2008,"Erze, Schlacken, Aschen",276946000,6398535000
2008,"Etherische Öle, Riech-, Schönheitsmittel",6649117000,3939320000
2008,"Fische, Krebs- und Weichtiere",965547000,2419349000
2008,Flechtstoffe usw. pflanzlichen Ursprungs,11924000,28403000
2008,"Flechtwaren, Korbmacherwaren",44801000,131029000
2008,Fleisch,6207002000,5292800000
2008,"Gemüse, Pflanzen für Ernährung",840377000,4244544000
2008,Genießbare Früchte und Nüsse,1280224000,6186379000
2008,"Gerb- und Farbstoffe, Farben, Lacke usw.",8186667000,3681628000
2008,Getreide,2568459000,2071816000
2008,"Getränke, alkoholhaltige Flüssigkeiten, Essig",4115691000,5127726000
2008,"Getränkte, bestrichene usw. Gewebe",1725798000,1218581000
2008,Gewirke und Gestricke,831244000,419570000
2008,Glas und Glaswaren,4936722000,3825950000
2008,"Halbstoffe aus Holz usw., Papierabfall",1015855000,3345561000
2008,"Holz, Holzwaren, Holzkohle",7480520000,5464323000
2008,"Häute, Felle, Leder",901294000,817623000
2008,"Kaffee, Tee, Mate, Gewürze",1572868000,2706430000
2008,Kakao und Zubereitungen aus Kakao,2514636000,2227485000
2008,Kautschuk und Waren daraus,10050323000,9737984000
2008,Keramische Waren,3011768000,2088469000
2008,Kopfbedeckungen und Teile davon,230821000,328194000
2008,"Kork, Korkwaren",39805000,113408000
2008,"Kraftfahrzeuge, Landfahrzeuge",160435861000,65092555000
2008,"Kunstgegenstände, Sammlungsstücke",569297000,335419000
2008,Kunststoffe und Waren daraus,44815700000,26950257000
2008,Kupfer und Waren daraus,10038057000,9751729000
2008,Lebende Tiere,907501000,1347058000
2008,"Lederwaren, Sattlerwaren",1335713000,2383323000
2008,"Luftfahrzeuge, Raumfahrzeuge",20625166000,16349261000
2008,"Maschinen, Apparate, mechanische Geräte",185605904000,104782426000
2008,"Milch, Milcherzeugnisse, Eier, Honig",6904038000,5703222000
2008,Mineralische Brennstoffe usw.,26503247000,114321924000
2008,Musikinstrumente,441471000,373961000
2008,"Möbel, Beleuchtungskörper usw.",12218570000,11747394000
2008,"Müllereierzeugnisse, Malz usw.",963223000,488437000
2008,Nickel und Waren daraus,1204836000,1860397000
2008,"Optische, photografische usw. Erzeugnisse",38784932000,21515741000
2008,Organische chemische Erzeugnisse,24566192000,22223195000
2008,"Papier, Pappe und Waren daraus",18025374000,11855175000
2008,"Pelzfelle, künstliches Pelzwerk",175474000,158635000
2008,"Perlen, Edelsteine, Edelmetalle",8533715000,10307560000
2008,"Pflanzen, Waren des Blumenhandels",624238000,2463629000
2008,Pharmazeutische Erzeugnisse,43657804000,30912849000
2008,Photochemische Erzeugnisse,1222230000,843594000
2008,"Rückstände der Lebensmittelindustrie, Futter",2531506000,2619806000
2008,"Salz, Schwefel, Steine, Erden usw.",2243671000,1754001000
2008,"Schellack, Gummen, Harz, Pflanzensaft",484972000,324390000
2008,Schienenfahrzeuge,3448099000,1600002000
2008,"Schirme, Gehstöcke usw., Peitschen",98146000,178724000
2008,"Schuhe, Gamaschen, ähnliche Waren",2770700000,5122747000
2008,Seide,82421000,82122000
2008,"Seifen, Waschmittel usw.",5001052000,2481256000
2008,"Spezialgewebe, Spitzen, Tapisserien",508922000,316906000
2008,"Spielzeug, Spiele usw., Sportgeräte",6447879000,7207828000
2008,"Sprengstoffe, pyrotechnische Artikel usw.",216357000,183256000
2008,Synthetische oder künstliche Spinnfaser,1758137000,1374933000
2008,Synthetisches oder künstliches Filament,2302747000,1512864000
2008,Tabak,3335368000,1429595000
2008,"Teppiche, Fußbodenbelag aus Spinnstoff",511223000,970698000
2008,"Tierische und pflanzliche Fette, Öle, Wachs",2013860000,3420934000
2008,Uhrmacherwaren,1049740000,1242220000
2008,Verschiedene Erzeugnisse der Chemischen Industrie,15254113000,9691374000
2008,Verschiedene Lebensmittelzubereitungen,3569600000,2442309000
2008,Verschiedene Waren,1922617000,1203934000
2008,Verschiedene Waren aus unedlen Metallen,6216449000,3585732000
2008,Vollständige Fabrikationsanlagen,4706607000,57414000
2008,Waffen und Munition,372996000,148452000
2008,Waren aus Eisen oder Stahl,25809713000,16842843000
2008,"Waren aus Steinen, Gips, Zement usw.",3434776000,2199162000
2008,Wasserfahrzeuge,4423625000,6055274000
2008,"Watte, Filz, Vliesstoff usw., Tauwerk",1898882000,1062872000
2008,"Werkzeuge, Schneidwaren, Essbestecke",6187891000,3877555000
2008,"Wolle, feine und grobe Tierhaare",722186000,764820000
2008,Zink und Waren daraus,568183000,855284000
2008,Zinn und Waren daraus,112523000,345582000
2008,"Zubereitungen aus Getreide usw., Backwaren",4056208000,2371232000
2008,"Zubereitungen von Fleisch, Fisch usw.",2310041000,2030808000
2008,"Zubereitungen von Gemüse, Früchten usw.",2170614000,3826493000
2008,Zucker und Zuckerwaren,1296636000,1399402000
2008,"Zugerichtete Federn, Daunen, künstliche Blumen",65843000,139336000
2008,Zusammenstellungen verschiedener Waren,15184685000,11106728000
2008,"Ölsamen usw., Heilpflanzen usw.",1087404000,3476936000
2009,Aluminium und Waren daraus,9179972000,8089617000
2009,"Andere Bekleidung, Bekleidungszubehör",6488521000,11348502000
2009,"Andere Konfektion, Spinnstoffwaren usw.",1621300000,2407683000
2009,Andere Waren tierischen Ursprungs,555478000,628626000
2009,"Andere pflanzliche Spinnstoffe, Papiergarn",48240000,64510000
2009,"Andere unedle Metalle, Cermets usw.",645160000,823000000
2009,Anorganische chemische Erzeugnisse,6209447000,5070649000
2009,Baumwolle,862473000,751582000
2009,"Bekleidung usw. aus Gewirken, Gestricken",5168594000,10521200000
2009,Blei und Waren daraus,390423000,198196000
2009,"Bücher, Zeitungen, Bilddrucke usw.",4410275000,2079252000
2009,Düngemittel,1853234000,837106000
2009,Eisen und Stahl,16472384000,14639996000
2009,"Eiweißstoffe, Klebstoffe, Enzyme",1937097000,1384761000
2009,Elektrotechnische Erzeugnisse,81149011000,74672363000
2009,"Erze, Schlacken, Aschen",228698000,4501975000
2009,"Etherische Öle, Riech-, Schönheitsmittel",6366332000,3769037000
2009,"Fische, Krebs- und Weichtiere",987356000,2599272000
2009,Flechtstoffe usw. pflanzlichen Ursprungs,9249000,21994000
2009,"Flechtwaren, Korbmacherwaren",46843000,118634000
2009,Fleisch,6018652000,4720635000
2009,"Gemüse, Pflanzen für Ernährung",795674000,4100981000
2009,Genießbare Früchte und Nüsse,1161286000,5658297000
2009,"Gerb- und Farbstoffe, Farben, Lacke usw.",7178423000,3214004000
2009,Getreide,2158647000,1771280000
2009,"Getränke, alkoholhaltige Flüssigkeiten, Essig",3964233000,5260044000
2009,"Getränkte, bestrichene usw. Gewebe",1444239000,994180000
2009,Gewirke und Gestricke,692560000,352727000
2009,Glas und Glaswaren,4404817000,3196111000
2009,"Halbstoffe aus Holz usw., Papierabfall",810792000,2307628000
2009,"Holz, Holzwaren, Holzkohle",5913703000,4677098000
2009,"Häute, Felle, Leder",618412000,597928000
2009,"Kaffee, Tee, Mate, Gewürze",1521293000,2515051000
2009,Kakao und Zubereitungen aus Kakao,2649144000,2551873000
2009,Kautschuk und Waren daraus,8921860000,8036124000
2009,Keramische Waren,2507086000,1796053000
2009,Kopfbedeckungen und Teile davon,224278000,340589000
2009,"Kork, Korkwaren",34033000,96088000
2009,"Kraftfahrzeuge, Landfahrzeuge",116884191000,55714487000
2009,"Kunstgegenstände, Sammlungsstücke",496122000,300712000
2009,Kunststoffe und Waren daraus,36673727000,21400149000
2009,Kupfer und Waren daraus,6631875000,5648892000
2009,Lebende Tiere,1021632000,1490949000
2009,"Lederwaren, Sattlerwaren",1233511000,2197246000
2009,"Luftfahrzeuge, Raumfahrzeuge",22315834000,17397710000
2009,"Maschinen, Apparate, mechanische Geräte",146923215000,82953326000
2009,"Milch, Milcherzeugnisse, Eier, Honig",5972221000,5098741000
2009,Mineralische Brennstoffe usw.,17374056000,77892689000
2009,Musikinstrumente,382342000,401612000
2009,"Möbel, Beleuchtungskörper usw.",10588820000,10863893000
2009,"Müllereierzeugnisse, Malz usw.",899689000,423326000
2009,Nickel und Waren daraus,613035000,825207000
2009,"Optische, photografische usw. Erzeugnisse",34808964000,19704719000
2009,Organische chemische Erzeugnisse,19004760000,18310853000
2009,"Papier, Pappe und Waren daraus",15669308000,10278294000
2009,"Pelzfelle, künstliches Pelzwerk",122637000,126474000
2009,"Perlen, Edelsteine, Edelmetalle",7250210000,9244107000
2009,"Pflanzen, Waren des Blumenhandels",615821000,2452252000
2009,Pharmazeutische Erzeugnisse,45219510000,32392099000
2009,Photochemische Erzeugnisse,1082125000,759108000
2009,"Rückstände der Lebensmittelindustrie, Futter",2484565000,2666590000
2009,"Salz, Schwefel, Steine, Erden usw.",1827167000,1373824000
2009,"Schellack, Gummen, Harz, Pflanzensaft",434489000,321430000
2009,Schienenfahrzeuge,3508924000,1617315000
2009,"Schirme, Gehstöcke usw., Peitschen",181044000,143357000
2009,"Schuhe, Gamaschen, ähnliche Waren",2621475000,5025318000
2009,Seide,60168000,59554000
2009,"Seifen, Waschmittel usw.",4549241000,2416856000
2009,"Spezialgewebe, Spitzen, Tapisserien",432010000,281356000
2009,"Spielzeug, Spiele usw., Sportgeräte",5573214000,6580078000
2009,"Sprengstoffe, pyrotechnische Artikel usw.",187365000,199507000
2009,Synthetische oder künstliche Spinnfaser,1534311000,1088062000
2009,Synthetisches oder künstliches Filament,1673230000,1088888000
2009,Tabak,3362914000,1638118000
2009,"Teppiche, Fußbodenbelag aus Spinnstoff",447268000,985639000
2009,"Tierische und pflanzliche Fette, Öle, Wachs",1550321000,2469081000
2009,Uhrmacherwaren,953519000,1108552000
2009,Verschiedene Erzeugnisse der Chemischen Industrie,12861502000,8518642000
2009,Verschiedene Lebensmittelzubereitungen,3567256000,2578571000
2009,Verschiedene Waren,1676351000,1110329000
2009,Verschiedene Waren aus unedlen Metallen,5036638000,2901886000
2009,Vollständige Fabrikationsanlagen,4327888000,83846000
2009,Waffen und Munition,380362000,143272000
2009,Waren aus Eisen oder Stahl,19952142000,12103011000
2009,"Waren aus Steinen, Gips, Zement usw.",2755843000,1821216000
2009,Wasserfahrzeuge,2433736000,4758832000
2009,"Watte, Filz, Vliesstoff usw., Tauwerk",1630569000,935442000
2009,"Werkzeuge, Schneidwaren, Essbestecke",4810557000,2831489000
2009,"Wolle, feine und grobe Tierhaare",530496000,529082000
2009,Zink und Waren daraus,448270000,635636000
2009,Zinn und Waren daraus,67984000,179382000
2009,"Zubereitungen aus Getreide usw., Backwaren",4004922000,2309452000
2009,"Zubereitungen von Fleisch, Fisch usw.",2222131000,1935860000
2009,"Zubereitungen von Gemüse, Früchten usw.",1995101000,3506492000
