Jahr,Monat,export_wert,import_wert,handelsvolumen_wert
2008,1,83324229000,66261325000,149585554000
2008,2,83516263000,66412875000,149929138000
2008,3,82755098000,65987223000,148742321000
2008,4,88750706000,69715675000,158466381000
2008,5,79732992000,65361992000,145094984000
2008,6,87364266000,67603379000,154967645000
2008,7,86067017000,71928323000,157995340000
2008,8,74859521000,64046619000,138906140000
2008,9,86270188000,70996884000,157267072000
2008,10,88702305000,72036452000,160738757000
2008,11,76085134000,66117741000,142202875000
2008,12,66713027000,59374431000,126087458000
2009,1,63558682000,56154207000,119712889000
2009,2,63788671000,55018204000,118806875000
2009,3,70163891000,58763102000,128926993000
2009,4,64401152000,54335165000,118736317000
2009,5,60652583000,50325522000,110978105000
2009,6,66898725000,53172824000,120071549000
2009,7,70577332000,54985619000,125562951000
2009,8,60088115000,51089383000,111177498000
2009,9,70913495000,59412103000,130325598000
2009,10,72460174000,59994074000,132454248000
2009,11,72294739000,56332896000,128627635000
2009,12,67513132000,55030779000,122543911000
2010,1,63357875000,55080774000,118438649000
2010,2,69985369000,56770007000,126755376000
2010,3,85578819000,69335017000,154913836000
2010,4,75184528000,62189154000,137373682000
2010,5,76191300000,66048793000,142240093000
2010,6,85310407000,71199616000,156510023000
2010,7,81350307000,68383649000,149733956000
2010,8,74393512000,64937909000,139331421000
2010,9,85971689000,69498856000,155470545000
2010,10,86001399000,71483607000,157485006000
2010,11,87624402000,73740253000,161364655000
2010,12,81008973000,68428601000,149437574000
2011,1,79314843000,69388799000,148703642000
2011,2,84536837000,72446793000,156983630000
2011,3,98671281000,79785454000,178456735000
2011,4,84509872000,73674648000,158184520000
2011,5,92351952000,77518577000,169870529000
2011,6,88084183000,75190813000,163274996000
2011,7,85571699000,75016880000,160588579000
2011,8,85255415000,73515561000,158770976000
2011,9,94964011000,77650110000,172614121000
2011,10,89054883000,78054774000,167109657000
2011,11,94104346000,77994695000,172099041000
2011,12,84805257000,72285188000,157090445000
2012,1,85923922000,72084767000,158008689000
2012,2,91008763000,75220825000,166229588000
2012,3,98470879000,80878258000,179349137000
2012,4,87009283000,72366088000,159375371000
2012,5,92445284000,76457607000,168902891000
2012,6,94038150000,75824609000,169862759000
2012,7,93098296000,75634082000,168732378000
2012,8,89896036000,72900808000,162796844000
2012,9,91091063000,74049796000,165140859000
2012,10,98082904000,81800376000,179883280000
2012,11,93345203000,76195333000,169540536000
2012,12,78216943000,65991691000,144208634000
2013,1,88119945000,74466652000,162586597000
2013,2,87862492000,71321797000,159184289000
2013,3,93886233000,75089240000,168975473000
2013,4,93523577000,75419166000,168942743000
2013,5,87779864000,73957277000,161737141000
2013,6,91887442000,74845666000,166733108000
2013,7,92625057000,76231983000,168857040000
2013,8,84436616000,71166580000,155603196000
2013,9,94020904000,73739115000,167760019000
2013,10,98526244000,80571870000,179098114000
2013,11,93977908000,76014285000,169992193000
2013,12,81377995000,67568167000,148946162000
2014,1,89688606000,74999071000,164687677000
2014,2,91298748000,75297769000,166596517000
2014,3,94840595000,78293689000,173134284000
2014,4,92852221000,75512947000,168365168000
2014,5,91064358000,73626102000,164690460000
2014,6,92640237000,76573238000,169213475000
2014,7,99974248000,76914679000,176888927000
2014,8,83109298000,69570271000,152679569000
2014,9,101451332000,79861466000,181312798000
2014,10,102862906000,81366824000,184229730000
2014,11,94902619000,77514185000,172416804000
2014,12,89059770000,70613622000,159673392000
2015,1,89700608000,73998955000,163699563000
2015,2,95368269000,76172391000,171540660000
2015,3,107648490000,84560631000,192209121000
2015,4,100133055000,78805370000,178938425000
2015,5,95390254000,76300268000,171690522000
2015,6,105269359000,81699169000,186968528000
2015,7,106731857000,82289349000,189021206000
2015,8,87734411000,72712255000,160446666000
2015,9,105445734000,83177307000,188623041000
2015,10,105827709000,84092672000,189920381000
2015,11,102684033000,82179229000,184863262000
2015,12,91620955000,73256699000,164877654000
2016,1,88743680000,75265596000,164009276000
2016,2,98567604000,79448141000,178015745000
2016,3,106462575000,81006995000,187469570000
2016,4,103942238000,78756603000,182698841000
2016,5,96762198000,76271592000,173033790000
2016,6,106137531000,82052270000,188189801000
2016,7,95831630000,76965132000,172796762000
2016,8,95979787000,76634404000,172614191000
2016,9,105603631000,81854368000,187457999000
2016,10,101050797000,82227186000,183277983000
2016,11,107635613000,85658223000,193293836000
2016,12,97115662000,78776634000,175892296000
2017,1,98768004000,83686700000,182454704000
2017,2,102398384000,82149141000,184547525000
2017,3,118097918000,92786390000,210884308000
2017,4,100757263000,82784359000,183541622000
2017,5,110452864000,88429620000,198882484000
2017,6,107190610000,84833144000,192023754000
2017,7,103122382000,84096932000,187219314000
2017,8,102953351000,82693983000,185647334000
2017,9,110345360000,86104440000,196449800000
2017,10,107977814000,88867024000,196844838000
2017,11,116277678000,92435728000,208713406000
2017,12,100534580000,82109589000,182644169000
2018,1,107092419000,89542641000,196635060000
2018,2,104721033000,86106242000,190827275000
2018,3,116088470000,91063184000,207151654000
2018,4,110343420000,89867443000,200210863000
2018,5,109064122000,89042070000,198106192000
2018,6,115319505000,93371550000,208691055000
2018,7,110958654000,94602192000,205560846000
2018,8,105383108000,87746927000,193130035000
2018,9,109142921000,90970766000,200113687000
2018,10,117258837000,98544657000,215803494000
2018,11,116261271000,96111095000,212372366000
2018,12,95806210000,81751372000,177557582000
2019,1,108899505000,94205730000,203105235000
2019,2,108836794000,91087240000,199924034000
2019,3,118219105000,95842172000,214061277000
2019,4,109975421000,92139289000,202114710000
2019,5,114248795000,93499215000,207748010000
2019,6,106163546000,89531235000,195694781000
2019,7,114974271000,93659936000,208634207000
2019,8,101617007000,85115762000,186732769000
2019,9,114148246000,92972163000,207120409000
2019,10,119762668000,98441967000,218204635000
2019,11,113243455000,94713185000,207956640000
2019,12,98062537000,82932903000,180995440000
2020,1,106611315000,92999827000,199611142000
2020,2,109137173000,88885649000,198022822000
2020,3,109270759000,92121854000,201392613000
2020,4,75919680000,72252808000,148172488000
2020,5,80578105000,73293067000,153871172000
2020,6,95965180000,80660216000,176625396000
2020,7,102776844000,83122293000,185899137000
2020,8,91242630000,79298510000,170541140000
2020,9,109942224000,89934936000,199877160000
2020,10,112193368000,92543376000,204736744000
2020,11,112079125000,95292764000,207371889000
2020,12,101211611000,86095991000,187307602000
2021,1,98174448000,83604129000,181778577000
2021,2,107263037000,89249514000,196512551000
2021,3,127359536000,105678729000,233038265000
2021,4,112236848000,96199993000,208436841000
2021,5,109812999000,96657440000,206470439000
2021,6,118512746000,102220581000,220733327000
2021,7,114791124000,96595180000,211386304000
2021,8,103835736000,92570195000,196405931000
2021,9,117676943000,101362623000,219039566000
2021,10,120549574000,107918267000,228467841000
2021,11,125311724000,113802236000,239113960000
2021,12,115871686000,109639121000,225510807000
2022,1,116538254000,110713557000,227251811000
2022,2,124118361000,110766724000,234885085000
2022,3,142995255000,133913663000,276908918000
2022,4,123224973000,121353180000,244578153000
2022,5,137427830000,132750124000,270177954000
2022,6,137798945000,128110741000,265909686000
2022,7,129232499000,124165570000,253398069000
2022,8,129691479000,128407670000,258099149000
2022,9,146676433000,138594953000,285271386000
2022,10,135669675000,129179709000,264849384000
2022,11,145574684000,133424687000,278999371000
2022,12,125392538000,114872325000,240264863000
2023,1,128947198000,118244029000,247191227000
2023,2,132058047000,113500465000,245558512000
2023,3,151871464000,128024662000,279896126000
2023,4,120317383000,106314763000,226632146000
2023,5,132706045000,118915069000,251621114000
2023,6,140420634000,118181269000,258601903000
2023,7,127203074000,110210494000,237413568000
2023,8,124270340000,105100774000,229371114000
2023,9,130174842000,110793188000,240968030000
2023,10,132970919000,113507548000,246478467000
2023,11,140111670000,116567099000,256678769000
2023,12,114156589000,98104337000,212260926000
2024,1,129425556000,108315734000,237741290000
2024,2,132637951000,108762867000,241400818000
2024,3,135725263000,112905422000,248630685000
2024,4,138791984000,115938267000,254730251000
2024,5,128042460000,106411865000,234454325000
2024,6,128423352000,107169880000,235593232000
2024,7,133565634000,113926769000,247492403000
2024,8,120537186000,102521902000,223059088000
2024,9,130190324000,111820820000,242011144000
2024,10,132644047000,117922358000,250566405000
2024,11,131402942000,110989875000,242392817000
2024,12,114559696000,100593260000,215152956000
